"artist","song","vector"
"Drake","Uuugly","[0.644201934338, 0.391587108374, 5.4804816246, 737.086730957, 0.0530623458326, 6.61289310455, 1018.90136719, 13.5703077316, 0.572036623955, 11.3396072388, 4310870.5, 0.88648045063, 0.000458697584691, 0.0043086707592, 0.00143904332072, 0.00232154852711, 0.00374858849682, 0.00278296531178, 0.00294405664317, 0.00307447020896, 0.000769935315475, 0.000691245950293, 0.000525103067048, 0.000561769935302, 0.000414863665355, 0.000289597577648, 0.000213992752833, 0.000130430300487, 0.000156023350428, 0.000102374840935, 6.79822551319e-05, 6.72095629852e-05, 4.50893967354e-05, 8.31341312733e-05, 6.8092616857e-05, 7.38418384572e-05, 6.80374287185e-05, 1.74078231794e-05, 5.69449980503e-07, -758.358276367, 173.028198242, 34.6769180298, 8.53584384918, -1.76336467266, -2.21548509598, -8.22825050354, -3.75121593475, -7.71221542358, -2.54939222336, -0.437158614397, -0.969116568565, -0.397529840469, -113.371231079, 143.077011108, -79.4997024536, 5.54958724976, -64.7619476318, 3.68840456009, -39.0018692017, 1.22026395798, -19.3706550598, 0.993981957436, -11.2025213242, -4.41792154312, -11.758067131, 100.099754333, 0.998471200466, 3.00162410736, 0.451423972845, 15.3305454254, 1.65452480316, 0.692908883095]"
"BIGBABYGUCCI","Miss Daisy (feat. Orlando Merci)","[0.8217420578, 0.43619042635, 4.23378610611, 818.295837402, 0.0888975188136, 7.00094461441, 1163.65380859, 17.9758758545, 0.528429627419, 10.2223482132, 4771585.5, 0.650130093098, 0.000638442579657, 0.0215456075966, 0.0138331055641, 0.00371897337027, 0.00440633622929, 0.00295298267156, 0.00166119833011, 0.000831271172501, 0.000534844526555, 0.00031457998557, 0.000276755774394, 0.000233575192397, 0.000170735569554, 0.000214773855987, 7.63241187087e-05, 6.03980806773e-05, 9.22048275243e-05, 8.52796583786e-05, 0.000121294244309, 0.000170171726495, 0.000107816180389, 0.000153231696459, 0.000189982485608, 0.00020153967489, 0.000180747316335, 6.41683218419e-05, 2.03318795684e-05, -724.536682129, 156.328369141, 22.7734794617, 20.0310230255, 8.32995510101, -3.55429720879, 0.399310827255, -4.78690910339, -8.69919681549, -2.48140525818, -1.98107969761, -1.11487627029, 1.28864181042, -64.1280670166, 111.152999878, -77.3612976074, 11.6109552383, -49.8055076599, -1.18282270432, -39.0722618103, 3.6392724514, -25.2364311218, 2.26815962791, -7.60732412338, -0.615093588829, -8.85393238068, 81.9066925049, 1.00140893459, 4.89251995087, 0.631524503231, 14.2573251724, 1.9404759407, 0.692007780075]"
"J. Cole","Trae The Truth in Ibiza","[0.84774428606, 0.441255807877, 4.01261806488, 1079.05529785, 0.0918097421527, 7.30650520325, 1444.73571777, 20.044342041, 0.505644381046, 10.880022049, 5692273, 0.791799545288, 0.00137647963129, 0.0158671233803, 0.00510586611927, 0.00191909039859, 0.00382803380489, 0.00112733291462, 0.00311365537345, 0.00106364185922, 0.000948678643908, 0.000367019471014, 0.0003337864473, 0.000586098642088, 0.000471508916235, 0.000412115710787, 0.000460959156044, 0.000202251729206, 0.000174528948264, 0.000102099540527, 0.000107715844933, 0.000105007507955, 0.000139818817843, 0.00019332372176, 0.000199774876819, 0.000264372851234, 0.000223822673433, 6.7975888669e-05, 4.20884316554e-06, -687.457336426, 115.765068054, 27.9604454041, 24.1503982544, 8.14843654633, 9.5454120636, -9.35437774658, -3.48744082451, -6.42923021317, 3.05466556549, 4.62630653381, 0.215852692723, -2.91192483902, -39.4184455872, 90.3705749512, -94.3505630493, 40.4934768677, -65.277557373, 14.8768901825, -45.0545158386, -0.167915180326, -16.159122467, 2.55717611313, -12.4684038162, -8.37062168121, -14.8488502502, 156.388122559, 1.27597570419, 4.36477231979, 0.520673394203, 13.1357870102, 1.975902915, 0.592128276825]"
"Brent Faiyaz","JACKIE BROWN","[0.418231517076, 0.416925936937, 6.96127080917, 707.600097656, 0.0809409096837, 6.66185092926, 652.059448242, 12.505405426, 0.421927422285, 8.46733283997, 3767528.75, 0.585885345936, 0.00985943432897, 0.0332799851894, 0.0026435458567, 0.00183450058103, 0.00582904787734, 0.00280080572702, 0.00199171807617, 0.00108550430741, 0.000669298518915, 0.000578814360779, 0.000260910630459, 0.000188325531781, 0.000183956813999, 0.000139832496643, 0.000222909628064, 9.08608562895e-05, 7.78320900281e-05, 5.89941555518e-05, 6.02516884101e-05, 6.23417654424e-05, 8.38619016577e-05, 6.83484540787e-05, 7.49103637645e-05, 6.47189954179e-05, 5.10472382302e-05, 2.32025358855e-05, 1.3768323015e-06, -780.686096191, 180.982406616, 21.0383396149, 21.2564849854, 10.4852228165, -1.53797078133, -0.0190896298736, 0.169584363699, 1.0538829565, 3.93253588676, 1.23259139061, 1.21425950527, 1.9219866991, -130.367263794, 144.577453613, -81.5823287964, 12.7185907364, -44.2429161072, 1.78216516972, -30.8178291321, 8.71709156036, -12.9775753021, 4.24484586716, -4.98311758041, 0.243571713567, 0.435290902853, 137.165908813, 1.09099555016, 3.42830228806, 0.517563223839, 14.1389255524, 1.78869962692, 0.747018396854]"
"Yeat, Don Toliver","Heavy stunts","[0.960184454918, 0.45592841506, 2.61744213104, 1107.36791992, 0.131688252091, 7.43998146057, 539.075866699, 29.3866767883, 0.264446973801, 13.0169630051, 5538784.5, 0.424792349339, 0.0707425177097, 0.0702427849174, 0.00320385489613, 0.00152962328866, 0.00244000554085, 0.00257173669524, 0.00116776558571, 0.000847829971462, 0.000623531755991, 0.000299581792206, 0.000326098612277, 0.000235722909565, 0.000263574416749, 0.000361880840501, 0.000192987499759, 0.000204492534976, 0.000148782288306, 0.000203489631531, 0.000325576722389, 0.00028299522819, 0.000161553092767, 0.000214048413909, 0.000791959580965, 0.000538469525054, 0.000159711096785, 8.25840761536e-05, 2.11632523133e-05, -674.725891113, 138.347885132, 37.4413604736, 21.4881973267, 19.5775203705, 10.8436002731, 0.852570056915, 12.8603286743, -3.47214365005, 14.7758398056, 2.12956023216, 6.00087928772, 7.19622516632, -14.1875200272, 100.114425659, -67.7540130615, 31.3845767975, -45.2812385559, 22.0989818573, -31.8450508118, 12.8515090942, -6.5543346405, 4.50574207306, 0.0165437720716, 4.71071529388, -5.7653169632, 144.866836548, 1.05252170563, 5.19212722778, 0.455223232508, 12.0895624161, 2.11856675148, 0.530398070812]"
"Gunna","hakuna matata","[0.95646494627, 0.425161004066, 4.18726634979, 972.624816895, 0.110150285065, 7.03853559494, 1108.10986328, 16.6641616821, 0.475919216871, 11.899055481, 4288812.5, 0.508752822876, 0.00301692681387, 0.0174264609814, 0.00485674990341, 0.00171060708817, 0.00177012977656, 0.00210043299012, 0.00113547104411, 0.00163678906392, 0.000582271371968, 0.000535595288966, 0.000423405261245, 0.00039018393727, 0.000328926515067, 0.000246915995376, 0.000326895795297, 0.000243310118094, 0.000206003853236, 0.000148976265336, 0.000203863441129, 0.000186238117749, 0.000144250239828, 0.000176150759216, 0.000275344966212, 0.000152359250933, 6.76577619743e-05, 2.91308115266e-05, 3.11856274493e-06, -728.810913086, 155.114425659, 28.0073280334, 11.7294845581, 8.62883281708, 4.2102060318, -5.364569664, 9.46927165985, -1.3898332119, 3.97750043869, 6.76423501968, 2.8640165329, 6.29670286179, -80.7266235352, 123.400527954, -84.1599121094, 14.3616104126, -53.8843688965, 15.1466703415, -34.570274353, 10.783867836, -9.14462852478, 2.42987275124, -7.23109340668, 1.75207090378, -10.8684225082, 137.99156189, 1.57471060753, 4.93461084366, 0.510764062405, 12.8114919662, 1.97086918354, 0.741273283958]"
"4batz","act v: there goes another vase","[0.91157668829, 0.440632998943, 3.70708918571, 1043.73254395, 0.0750550478697, 7.34478759766, 1937.16467285, 32.8711280823, 0.528674721718, 12.0015907288, 7330492.5, 0.533273279667, 0.0002493596985, 0.0104818791151, 0.00658626761287, 0.00234580528922, 0.0023379214108, 0.00275060487911, 0.00159079686273, 0.0011485995492, 0.000790752528701, 0.000754075590521, 0.000405511353165, 0.000185047683772, 0.000133300476591, 0.00014823958918, 0.000128485800815, 0.000123709774925, 0.00011017396173, 0.000168544633198, 0.000173706284841, 0.000206071897992, 0.000199207512196, 0.00017021165695, 0.000246758543653, 0.000478741625557, 0.000642600643914, 0.000447550031822, 0.000151598418597, -697.253234863, 130.835083008, 52.1085281372, 20.5053443909, 14.4354381561, -16.8295307159, 10.5231933594, 3.78214693069, 1.43626284599, 5.9287109375, 1.08250033855, 0.334053903818, 1.62898659706, -23.0226612091, 77.5338363647, -44.7575836182, 16.6611099243, -52.8917999268, 6.15370035172, -35.430431366, 25.4433822632, -24.2280502319, 2.58167386055, -8.91008090973, -1.88880419731, -11.6883163452, 118.243644714, 1.26210427284, 3.95015597343, 0.516292631626, 14.0204000473, 1.88318324089, 0.599817097187]"
"Concrete Boys, Lil Yachty","LA REID","[0.716340959072, 0.449479460716, 4.46412420273, 1241.48937988, 0.0847787931561, 7.35643911362, 956.007080078, 17.9105529785, 0.437650442123, 13.3536119461, 4537101, 0.720124900341, 0.0113419992849, 0.0350137911737, 0.00314353569411, 0.00164674571715, 0.00301693798974, 0.00142175273504, 0.00154695357196, 0.00190045393538, 0.00150841183495, 0.000423499732278, 0.000467475561891, 0.000411274610087, 0.000304748537019, 0.00028859244776, 0.000235819839872, 0.000178431815584, 0.000356643169653, 0.000119747506687, 0.000196800203412, 0.00013774902618, 0.000109780332423, 9.05462802621e-05, 0.000320361054037, 0.000168986676726, 7.06668288331e-05, 2.72637807939e-05, 5.50495087737e-06, -676.492431641, 135.867889404, 4.33363962173, 27.226518631, 4.36319637299, 2.15582156181, 3.2105550766, 0.734654724598, 2.06199145317, 4.90323400497, -0.282441943884, 2.85110783577, -1.75814640522, -26.0695228577, 100.456542969, -105.191299438, 29.2227077484, -48.901802063, 6.44866275787, -31.1649742126, 9.9378528595, -19.1825809479, 3.20863509178, -13.1098241806, -4.55451822281, -8.63120937347, 73.4868850708, 1.22435593605, 3.85094547272, 0.505847454071, 15.4936561584, 1.69640052319, 0.560975015163]"
"Future, Metro Boomin, Travis Scott","Cinderella","[0.65505874157, 0.422040820122, 4.7027926445, 825.741394043, 0.0858920812607, 6.85932970047, 734.259460449, 18.0873508453, 0.419700860977, 11.0980043411, 4363838, 0.703444182873, 0.01255899854, 0.0285831838846, 0.00241808500141, 0.00187217234634, 0.00227377074771, 0.00401829089969, 0.00110988726374, 0.00219703419134, 0.000965908984654, 0.000265168055193, 0.000212076178286, 0.000412622641306, 0.000379270379199, 0.000380468904041, 0.000363431521691, 0.000181679046364, 0.00018994884158, 0.000134913934744, 0.000160947020049, 0.000144851961522, 0.000182665826287, 0.000190242499229, 0.000165930890944, 0.000219505731366, 9.67221567407e-05, 2.29107099585e-05, 2.44003376793e-06, -738.180114746, 161.876968384, 27.705909729, 9.03071689606, 4.39981222153, 0.793120980263, -6.2449426651, -5.10334873199, -2.33335876465, 5.5859670639, 5.35108852386, 4.28477239609, -0.0918376967311, -90.2298736572, 129.986602783, -88.3287963867, 6.19414138794, -58.1704521179, 6.41966485977, -35.211025238, 4.01567840576, -10.2360630035, 5.26034021378, -4.67629289627, -5.69821500778, -5.2119603157, 129.985031128, 1.16036605835, 3.90924024582, 0.461236178875, 14.1987867355, 1.84522402287, 0.57628518343]"
"Dc2trill","Barneys (feat. Lil Yachty)","[0.966453135014, 0.435673624277, 2.43753862381, 1432.59509277, 0.0952284932137, 7.23274183273, 1003.97125244, 27.297832489, 0.300921142101, 15.995177269, 5590639.5, 0.491147696972, 0.0374754965305, 0.0545854717493, 0.000453268090496, 0.0012515730923, 0.00350980088115, 0.00269925221801, 0.00226542493328, 0.00112763280049, 0.00140118878335, 0.00061640056083, 0.000392401649151, 0.000677012722008, 0.000907734793145, 0.000606023066211, 0.000538292748388, 0.000486524950247, 0.000501162663568, 0.000344297848642, 0.000224862567848, 0.000204377807677, 0.000229537981795, 0.000211969643715, 0.000353211362381, 0.000327321060468, 0.000140078744153, 5.00090900459e-05, 1.18526043025e-06, -695.190490723, 147.671066284, 33.1146316528, 15.53926754, 17.8649921417, 0.997010231018, -3.22672319412, 10.398223877, -1.33175623417, 11.74680233, 7.2456612587, 7.8866314888, 6.97826147079, -58.7870559692, 112.543945312, -75.300743103, 24.1533641815, -50.049533844, 18.5692234039, -35.9918060303, 18.0076732635, -3.86211204529, 5.78949117661, 2.74552989006, 4.11666297913, -1.71917378902, 144.817901611, 0.961993932724, 4.50010681152, 0.436571091413, 15.6869277954, 1.65774607658, 0.451444417238]"
"Killer Mike, André 3000","SCIENTISTS & ENGINEERS (feat. Future, Eryn Allen Kane)","[0.601709365845, 0.434659838676, 2.88886475563, 950.45489502, 0.100885994732, 7.13796567917, 1183.55493164, 21.0504951477, 0.548553407192, 13.5113487244, 4705572, 0.951419651508, 0.00325456215069, 0.0127566307783, 0.00286122062244, 0.00200797594152, 0.002981394995, 0.00434196926653, 0.00241854554042, 0.00186445075087, 0.00134768988937, 0.00138092087582, 0.000925365369767, 0.000727026374079, 0.000505144300405, 0.000375611591153, 0.000420057447627, 0.000361783982953, 0.000302572181681, 0.000135974187288, 0.000176747722435, 0.000127907842398, 9.695814515e-05, 0.000134188376251, 0.000212470913539, 0.00020669742662, 0.000132012777613, 3.32948329742e-05, 2.99073303722e-06, -678.932922363, 136.351791382, 17.1321525574, 9.96773433685, 5.25208091736, -11.5209789276, -8.02874755859, -1.96971213818, -6.60161828995, -0.934645652771, -5.27436923981, -2.7125992775, 3.02585363388, -29.7240848541, 101.012550354, -101.344352722, 16.0365562439, -68.3834915161, 5.06706237793, -49.0479316711, 10.2348327637, -20.579284668, -0.597478985786, -7.39784240723, -0.187934681773, -4.22523736954, 139.767364502, 1.23216998577, 4.53330564499, 0.530312001705, 13.0649662018, 2.04026222229, 0.721802473068]"
"The Weeknd","Coming Down","[0.727334618568, 0.438394516706, 2.96485590935, 1109.9621582, 0.0788006782532, 7.32385921478, 1482.02001953, 26.5273666382, 0.503889203072, 14.5443611145, 5153643, 1.19218885899, 0.000850266776979, 0.01717559807, 0.000970376248006, 0.000902622705325, 0.00358081143349, 0.00168523821048, 0.002585131675, 0.00185211689677, 0.0012058125576, 0.00223837443627, 0.000664203835186, 0.00100416783243, 0.000596660422161, 0.000339223828632, 0.000329502276145, 0.000196963519556, 0.000177366659045, 0.00023798517941, 0.000239695596974, 0.000226300078793, 0.000233033817494, 0.000343003252055, 0.000357041804818, 0.000424638565164, 0.00020184389723, 3.76906646125e-05, 2.72804277301e-06, -670.784423828, 134.667160034, 21.0605106354, 6.23919868469, -6.27300405502, -12.3826808929, 0.420133382082, 2.54327845573, -6.25825071335, 6.18640089035, 1.50718474388, 2.34549403191, 0.0603355951607, -25.660736084, 104.34992218, -106.270744324, 15.5833320618, -76.4770507812, 10.861489296, -36.0172348022, 15.1678056717, -19.9517288208, 1.16986131668, -3.09655308723, -4.07223796844, -8.03133869171, 120.815979004, 1.11032581329, 3.49296832085, 0.522034287453, 14.1664104462, 1.86043262482, 0.749304175377]"
"Drake","Nothings Into Somethings","[0.458662599325, 0.375744074583, 7.80065727234, 866.307983398, 0.0894986987114, 5.99218511581, 932.565551758, 29.9279785156, 0.424093425274, 8.01706409454, 2653647.5, 0.738872468472, 0.0115431137383, 0.0381110571325, 0.00106295023579, 0.000986646744423, 0.00175123824738, 0.00248101865873, 0.000841075205244, 0.000613023759797, 0.000787674740423, 0.000263065274339, 0.000240865207161, 0.000461536430521, 0.000357244774932, 0.000252363766776, 0.000248542666668, 0.000266942515736, 0.000314890814479, 0.000342076789821, 0.000394178059651, 0.000448470178526, 0.000702530553099, 0.000400001881644, 0.000577111670282, 0.000568195770029, 0.000147857208503, 4.87063953187e-05, 2.36172945733e-05, -874.653198242, 180.603012085, 72.8759231567, 25.126625061, -1.52347838879, -3.7586684227, -4.0274939537, 4.68104982376, -4.01312923431, -3.00089406967, -6.37158679962, -0.558054864407, 0.681838691235, -238.345367432, 171.376281738, -33.6769866943, -0.051459658891, -59.0709152222, -4.68158054352, -25.6115970612, -2.777561903, -11.9421262741, -7.85277938843, 1.27316880226, 2.73805761337, 5.6568813324, 96.9187698364, 1.19844305515, 2.80344676971, 0.547317862511, 13.1045837402, 2.00891375542, 0.51924598217]"
"Don Toliver","You (feat. Travis Scott)","[0.777883708477, 0.439524322748, 4.75450849533, 1180.55322266, 0.0701951384544, 7.04643392563, 1045.52526855, 14.1869525909, 0.461370587349, 10.9013261795, 3710784, 0.81560999155, 0.00283136055805, 0.0168650876731, 0.00244895392098, 0.00123660545796, 0.0011679410236, 0.00218060752377, 0.00175519741606, 0.00111901736818, 0.00128155574203, 0.000628744484857, 0.000530427962076, 0.000788800476585, 0.000258208805462, 0.000307573413011, 0.000211224032682, 0.000161315620062, 0.000104000755528, 0.00024970062077, 0.000369333632989, 0.000164747223607, 0.000178077680175, 0.000152162858285, 6.14480886725e-05, 3.73066213797e-05, 2.81541233562e-05, 9.96981725621e-06, 1.36655489769e-06, -728.229919434, 149.604370117, 0.833590209484, 23.0072898865, -7.53867101669, -0.925139427185, 0.210868924856, 1.05993485451, -3.04887270927, 4.85619401932, 6.7823433876, -1.40869247913, 4.85688924789, -83.5796432495, 119.324958801, -115.236228943, 20.5836143494, -57.7862205505, 1.40585303307, -24.9551963806, 7.66068792343, -14.1501140594, 5.34848833084, -3.85243606567, -1.54982984066, -6.77671051025, 117.936759949, 1.15302968025, 3.72557282448, 0.48762139678, 14.8779621124, 1.79615557194, 0.596591293812]"
"Nemzzz","Ls","[0.635846853256, 0.423178762197, 5.76975870132, 1141.56652832, 0.0788210257888, 7.00438690186, 1065.47314453, 15.2800292969, 0.375200629234, 8.55931854248, 4554595, 0.456854790449, 0.015088214539, 0.0369412153959, 0.0023220977746, 0.000802189868409, 0.00135036860593, 0.000761013187002, 0.000840759195853, 0.000352505565388, 0.000623574713245, 0.000484248826979, 0.000315065844916, 0.000427775492426, 0.000315809360472, 0.000242733847699, 0.000172648098669, 0.00017243201728, 0.000149203813635, 0.000113068213977, 0.000263550027739, 5.10252575623e-05, 5.27523952769e-05, 8.66496266099e-05, 0.000325240718666, 0.000228320146562, 0.000104532118712, 3.10953037115e-05, 4.53250231658e-06, -781.825622559, 149.906341553, 16.6882991791, -4.88913154602, 9.22214317322, 3.022356987, -7.04879426956, 7.89816904068, -4.73116064072, 7.63962841034, 0.913987159729, -2.73860430717, 0.795099616051, -139.00579834, 118.670440674, -101.13369751, 2.3935148716, -51.9173431396, 14.5196294785, -35.5831565857, 5.8699760437, -6.77977323532, -3.78804540634, -1.15622007847, -1.2030929327, -2.99514842033, 150.206542969, 1.21753954887, 4.32540941238, 0.439532309771, 14.4662036896, 1.82165777683, 0.614575564861]"
"Brent Faiyaz","Pistachios","[0.440193116665, 0.418580949306, 7.41496229172, 819.184265137, 0.0720280632377, 6.65044975281, 883.897705078, 12.7806625366, 0.481834769249, 9.256275177, 3402437.25, 0.732537686825, 0.00165045214817, 0.0196487084031, 0.00430914433673, 0.00370091781951, 0.00495092011988, 0.00152402650565, 0.00183064048178, 0.0010454361327, 0.00106867589056, 0.000440625793999, 0.000329939153744, 0.000265260605374, 0.00033015239751, 0.000212198239751, 0.00017929635942, 0.000133795459988, 0.00013942476653, 0.00015661107318, 0.000102301186416, 0.000110085435153, 0.0001259821438, 0.000104004320747, 6.58981371089e-05, 4.57264250144e-05, 3.50021327904e-05, 1.06994675662e-05, 2.75356728707e-06, -784.423706055, 163.311645508, 6.48494768143, 31.2647094727, -0.661158144474, -3.43073582649, -7.02537488937, -8.64227485657, -7.00828790665, -7.41445970535, -0.300549179316, -4.91252326965, -5.54194068909, -153.197570801, 147.12147522, -104.320411682, 17.8484363556, -51.016658783, -16.2958068848, -33.5761184692, -8.19917201996, -19.8886470795, -4.40920305252, -10.9945774078, -7.28178596497, -8.46821022034, 142.16809082, 1.19305574894, 2.98500919342, 0.543418467045, 14.836312294, 1.83901298046, 0.670429229736]"
"Tyler, The Creator","Glitter","[0.266255408525, 0.438719063997, 4.2027425766, 902.763305664, 0.079009540379, 7.1676774025, 1002.70611572, 18.3117046356, 0.469061762094, 12.3110351562, 4629520, 0.814487278461, 0.0114276623353, 0.0573766492307, 0.00396048603579, 0.0010923803784, 0.00264836964197, 0.00149705074728, 0.001857572468, 0.0013352377573, 0.00119531957898, 0.000818640401121, 0.000384538347134, 0.000399403827032, 0.000332454947056, 0.00029886837001, 0.000244137962, 0.000185483426321, 0.000135886730277, 0.000125480975839, 9.73353453446e-05, 0.000114279398986, 8.55039615999e-05, 0.000131572218379, 0.000157462636707, 0.000167105928995, 0.000123214034829, 6.63310565869e-05, 8.7298485596e-06, -702.181335449, 143.304412842, 17.257019043, 7.79570150375, 2.26738548279, 0.879813373089, -7.28683328629, 2.56166505814, -4.14198207855, 3.26757884026, 0.495668232441, -1.14768373966, -0.119484685361, -48.3384933472, 101.984176636, -95.3455734253, 11.5201673508, -60.9981613159, 9.29661750793, -37.3852615356, 4.64779615402, -14.5936918259, -0.782504022121, -10.404001236, -1.26586914062, -9.36238002777, 155.437423706, 0.832269370556, 3.4413998127, 0.470380604267, 13.700044632, 1.95842051506, 0.485974758863]"
"teo glacier","close with desires (right person wrong timing)","[0.922443509102, 0.416718512774, 4.05312538147, 695.258605957, 0.0800118595362, 6.91382455826, 1001.50134277, 20.9830169678, 0.519827723503, 11.5605716705, 5666324, 0.704059302807, 0.000770218903199, 0.0162221454084, 0.00842799339443, 0.00422254856676, 0.00400189450011, 0.00165256182663, 0.00178071169648, 0.000962187827099, 0.00187351985369, 0.00169561465736, 0.000876830948982, 0.00101556349546, 0.000685265578795, 0.000348528963514, 0.000118078423839, 6.24000094831e-05, 8.45908652991e-05, 7.72704952396e-05, 4.8041165428e-05, 5.38117565156e-05, 0.000135128939291, 0.00013794816914, 0.000169402759639, 0.000183736265171, 0.000177054695087, 9.35315329116e-05, 3.99228265451e-05, -708.080444336, 155.89994812, 48.9196929932, 2.72528028488, 8.33549022675, 6.93475818634, 6.98765993118, 6.40606451035, 2.60035228729, -1.01263153553, 2.17389631271, 5.53276634216, -3.45423650742, -35.8926315308, 100.836448669, -47.0456771851, -0.19397944212, -48.6885414124, 19.1814785004, -28.8879203796, 6.81159067154, -21.4112358093, -0.670348644257, -15.9340782166, -1.46897113323, -15.2624320984, 129.971954346, 1.13173651695, 3.0468146801, 0.454783856869, 12.4862546921, 2.04240775108, 0.625318467617]"
"Drake","Look What Youve Done","[0.0889946222305, 0.427491664886, 4.97610521317, 985.738952637, 0.0834520086646, 6.90068864822, 1087.58007812, 19.3688087463, 0.494608402252, 12.8174686432, 3790465.25, 0.887865662575, 0.00469692517072, 0.0302608534694, 0.0028589097783, 0.00112031004392, 0.00405529048294, 0.00236627343111, 0.0025512878783, 0.00133577478118, 0.00131736823823, 0.000553151068743, 0.000354813557351, 0.000362892867997, 0.000406238425057, 0.000419528805651, 0.000335571414325, 0.000258266169112, 0.000333214586135, 0.000222668692004, 0.000132440560265, 0.00011312161223, 0.000129795618705, 0.000236311534536, 0.000196460954612, 0.000164953598869, 0.000109034917841, 3.32249874191e-05, 3.61667275683e-06, -742.550292969, 165.094894409, 7.95769453049, 18.7748012543, 9.81755065918, -11.3464336395, -18.2003078461, -2.33960461617, -5.81672811508, -0.472364932299, 0.900170385838, -1.93063282967, -3.89115452766, -96.4404830933, 129.069946289, -99.9127731323, 11.0124139786, -54.1024894714, -9.91336345673, -46.9924888611, 3.69994831085, -11.1549749374, -4.13886785507, -10.528717041, -5.23920345306, -8.65814304352, 135.541976929, 1.09400975704, 3.71884441376, 0.487558275461, 13.1449556351, 2.00752258301, 0.787738144398]"
"Sainte","Compare - A COLORS SHOW","[0.555469632149, 0.453496873379, 5.00028657913, 994.363464355, 0.108959451318, 7.12508773804, 1124.7857666, 23.8463344574, 0.421929240227, 13.3594551086, 4484738.5, 0.728972315788, 0.0177217181772, 0.0889343991876, 0.00657839328051, 0.00187104276847, 0.00497806770727, 0.00157771806698, 0.00129542243667, 0.00069294514833, 0.000569530704524, 0.000347457273165, 0.00023647355556, 0.000166125319083, 0.000389193679439, 0.000310941744829, 0.000322786188917, 0.000348563626176, 0.000348523200955, 0.000208513389225, 0.00027808645973, 9.74286085693e-05, 9.3530266895e-05, 7.20391617506e-05, 0.000235525760218, 0.000209161938983, 0.000210109341424, 6.37856064714e-05, 7.04550402588e-05, -723.374511719, 156.650939941, 18.5319023132, 25.8451881409, 37.3649787903, -8.64314746857, 3.18769741058, 3.277354002, -1.42014932632, 7.87889957428, 1.01397371292, -1.45732343197, 1.32837224007, -59.9366378784, 109.712661743, -71.0633392334, 20.6364040375, -25.290271759, 2.11783051491, -43.0604438782, 14.8523254395, -12.5600032806, -3.76945567131, -1.85876858234, -6.75091695786, -4.3881483078, 119.92351532, 0.948483705521, 4.03587055206, 0.498646199703, 12.0088844299, 2.26781535149, 0.614421129227]"
"Tory Lanez","Deceiving Eve","[0.917136013508, 0.407362192869, 3.74335956573, 1003.93280029, 0.0663452148438, 6.91173410416, 1712.83056641, 26.6530094147, 0.526112914085, 10.6675605774, 5596143, 1.42821204662, 3.98467273044e-06, 0.000502644979861, 0.000381864520023, 0.00127773953136, 0.00380346458405, 0.00299901026301, 0.000726644473616, 0.00182915839832, 0.00257572322153, 0.000646058062557, 0.000716499111149, 0.000345243723132, 0.000447289290605, 0.00061340915272, 0.000548413605429, 0.000427847873652, 0.000280401640339, 0.000284483481664, 0.000135311842314, 0.000183320022188, 0.000176841800567, 0.000145737518324, 0.000374213472242, 0.000483792071464, 0.00035801512422, 8.28805350466e-05, 5.48020943825e-06, -704.809753418, 130.67590332, 40.0320892334, 3.5736541748, -4.00329637527, -5.88584852219, -8.19512939453, -3.60103726387, -9.27524852753, 3.962413311, -7.52711343765, -6.39760017395, -6.67291307449, -47.8565292358, 92.2678985596, -83.2433853149, 10.6554880142, -81.4078674316, 10.0422277451, -47.0677261353, 2.94396233559, -27.1399726868, -5.72526788712, -18.5402088165, -10.0716667175, -12.9903793335, 129.724502563, 1.15300941467, 3.7310898304, 0.436197429895, 16.7418003082, 1.52396512032, 0.551310539246]"
"Drake","4pm in Calabasas","[0.904173076153, 0.432129621506, 4.41654586792, 1280.90002441, 0.108769439161, 7.07099962234, 1599.3762207, 18.6192035675, 0.513398110867, 10.9469413757, 4106911.5, 0.714880824089, 0.00280705699697, 0.022013457492, 0.0040630842559, 0.00259396899492, 0.00213220971636, 0.00137093954254, 0.00159885350149, 0.000667147513013, 0.00070553238038, 0.000402881763875, 0.000300772197079, 0.000309665803798, 0.000310319970595, 0.000240137698711, 0.000212726401514, 0.000230317469686, 0.000397877040086, 0.000330575363478, 0.000221867652726, 0.000272946665064, 0.000250843033427, 0.000213362392969, 0.000454600463854, 0.000135274895001, 3.60944322892e-05, 1.44950754475e-05, 2.14433566725e-06, -746.084106445, 139.164810181, 19.4754199982, 16.3697757721, 0.0705457702279, 2.83131814003, -5.94323587418, 4.26112270355, -2.68130755424, -0.683536171913, 1.47579288483, 5.55520629883, -0.0253657791764, -97.724029541, 106.480583191, -95.6380310059, 18.7910003662, -58.2110404968, 6.61423921585, -32.3786468506, 4.61322832108, -12.96763134, 0.542293906212, -6.9705581665, 2.75992226601, -7.80703020096, 95.995513916, 1.34295046329, 5.05341339111, 0.479875713587, 12.9544963837, 2.10631847382, 0.669089496136]"
